text,sentiment
"Это отличный фильм, мне очень понравилось!",positive
"Ужасное обслуживание, никогда больше не приду.",negative
"Сегодня прекрасная погода для прогулки.",positive
"Продукт не оправдал моих ожиданий.",negative
"Спасибо за быструю доставку!",positive
"Очень разочарован качеством товара.",negative
"Отличный сервис, рекомендую всем!",positive
"Это худший опыт в моей жизни.",negative
"Всё прошло идеально, без нареканий.",positive
"Категорически не рекомендую это место.",negative
"Мне очень понравилось, вернусь ещё раз!",positive
"Ужасный сервис, деньги на ветер.",negative
"Прекрасное впечатление от покупки.",positive
"Очень плохое качество, не стоит покупать.",negative
"Отличная работа команды, молодцы!",positive
"Это полный провал, не советую.",negative
"Всё супер, остался доволен на 100%!",positive
"Ужасно, больше никогда не обращусь.",negative
"Потрясающий результат, спасибо!",positive
"Разочарование полное, не рекомендую.",negative
"Замечательный опыт, обязательно вернусь!",positive
"Никогда не видел такого плохого сервиса.",negative
"Восхищён качеством, превзошло ожидания!",positive
"Полное разочарование, деньги выброшены.",negative
"Настоятельно рекомендую, не пожалеете!",positive
"Ужасная сталовая, еда несъедобная.",negative
"Блестящая работа, всё на высшем уровне!",positive
"Катастрофа, никому не советую.",negative
"Превосходно, остался в восторге!",positive
"Худший выбор, очень пожалел.",negative
"Идеально подошло, очень доволен!",positive
"Совершенно не то, что ожидал.",negative
"Отличное соотношение цена-качество!",positive
"Переплатил за полное ничто.",negative
"Всё сделано профессионально, спасибо!",positive
"Никакого профессионализма, только разочарование.",negative
"Потрясающе, буду рекомендовать друзьям!",positive
"Ужасное качество, не стоит внимания.",negative
"Прекрасный сервис, всё на высоте!",positive
"Полный провал, больше не вернусь.",negative
"Великолепно, остался очень доволен!",positive
"Катастрофически плохо, избегайте этого места.",negative
"Замечательно, всё превзошло ожидания!",positive
"Ужасно, никому не рекомендую.",negative
"Превосходный результат, очень рад!",positive
"Разочарован до глубины души.",negative
"Идеально, не могу нарадоваться!",positive
"Худший опыт, который у меня был.",negative
"Блестяще, всё просто замечательно!",positive
"Полное разочарование, не стоит усилий.",negative
"Отлично, очень рекомендую попробовать!",positive
"Ужасная ситуация, лучше не связываться.",negative
"Замечательный опыт, обязательно вернусь!",positive
"Никогда не видел такого плохого сервиса.",negative
"Восхищён качеством, превзошло ожидания!",positive
"Полное разочарование, деньги выброшены.",negative
"Настоятельно рекомендую, не пожалеете!",positive
"Ужасная сталовая, еда несъедобная.",negative
"Блестящая работа, всё на высшем уровне!",positive
"Катастрофа, никому не советую.",negative
"Превосходно, остался в восторге!",positive
"Худший выбор, очень пожалел.",negative
"Идеально подошло, очень доволен!",positive
"Совершенно не то, что ожидал.",negative
"Отличное соотношение цена-качество!",positive
"Переплатил за полное ничто.",negative
"Всё сделано профессионально, спасибо!",positive
"Никакого профессионализма, только разочарование.",negative
"Потрясающе, буду рекомендовать друзьям!",positive
"Ужасное качество, не стоит внимания.",negative
"Прекрасный сервис, всё на высоте!",positive
"Полный провал, больше не вернусь.",negative
"Великолепно, остался очень доволен!",positive
"Катастрофически плохо, избегайте этого места.",negative
"Замечательно, всё превзошло ожидания!",positive
"Ужасно, никому не рекомендую.",negative
"Превосходный результат, очень рад!",positive
"Разочарован до глубины души.",negative
"Идеально, не могу нарадоваться!",positive
"Худший опыт, который у меня был.",negative
"Блестяще, всё просто замечательно!",positive
"Полное разочарование, не стоит усилий.",negative
"Отлично, очень рекомендую попробовать!",positive
"Ужасная ситуация, лучше не связываться.",negative